Title;Author(s);Year;Publication Title;Type of Publication;Source;DOI;Abstract
Novel Feature-Based Difficulty Prediction Method for Mathematics Items Using XGBoost-Based SHAP Model;"Yi X.; Sun J.; Wu X.";2024;Mathematics;Article;Scopus;10.3390/math12101455;The level of difficulty of mathematical test items is a critical aspect for evaluating test quality and educational outcomes. Accurately predicting item difficulty during test creation is thus significantly important for producing effective test papers. This study used more than ten years of content and score data from China’s Henan Provincial College Entrance Examination in Mathematics as an evaluation criterion for test difficulty, and all data were obtained from the Henan Provincial Department of Education. Based on the framework established by the National Center for Education Statistics (NCES) for test item assessment methodology, this paper proposes a new framework containing eight features considering the uniqueness of mathematics. Next, this paper proposes an XGBoost-based SHAP model for analyzing the difficulty of mathematics tests. By coupling the XGBoost method with the SHAP method, the model not only evaluates the difficulty of mathematics tests but also analyzes the contribution of specific features to item difficulty, thereby increasing transparency and mitigating the “black box” nature of machine learning models. The model has a high prediction accuracy of 0.99 for the training set and 0.806 for the test set. With the model, we found that parameter-level features and reasoning-level features are significant factors influencing the difficulty of subjective items in the exam. In addition, we divided senior secondary mathematics knowledge into nine units based on Chinese curriculum standards and found significant differences in the distribution of the eight features across these different knowledge units, which can help teachers place different emphasis on different units during the teaching process. In summary, our proposed approach significantly improves the accuracy of item difficulty prediction, which is crucial for intelligent educational applications such as knowledge tracking, automatic test item generation, and intelligent paper generation. These results provide tools that are better aligned with and responsive to students’ learning needs, thus effectively informing educational practice. © 2024 by the authors.
Artificial Intelligence for Personalized Learning in K-12 Education. A Scoping Review;"Pitrella V.; Perna S.; Allegra M.; Gentile M.; Ottaviano S.; Re A.; Tosto C.; Città G.";2024;Communications in Computer and Information Science;Conference;Scopus;10.1007/978-3-031-67351-1_25;The ongoing evolution of Artificial Intelligence technology is able to influence different fields of human experience, also including communication and professional activities. Artificial Intelligence has been playing a relevant role in education and literature has already addressed the design, impact, and challenges of such technological solutions designed for educational purposes. On the other hand, technology integration, and especially the integration of solutions related to Artificial Intelligence, has started to exert a crucial function in enabling and enhancing Personalized Learning experience. In this regard, the present paper Reports the results of a scoping review conducted with the aim of describing the empirical research evaluating the impact of Artificial Intelligence tools and systems as integrated in Personalized Learning approaches designed for K-12 education. The results shows that personalized solutions supported by Artificial Intelligence technology mainly consisted in Intelligent Tutoring Systems designed for online learning platforms and addressed STEM (especially Mathematics and Physics topics) and language learning. Overall, all the studies selected for the purposes of the current reviews Reported a positive impact of the Artificial Intelligence-based personalized systems on students’ learning outcomes. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.
Feedback in Online Mathematics Tutoring;"Jan?a?ík A.; Michal J.; Novotná J.";2023;International Conference on Computer Supported Education, CSEDU - Proceedings;Conference;Scopus;10.5220/0012017500003470;The goal of this paper is to present issues related to assessment and feedback in the framework of online mathematics tutoring implemented with the help of a chatbot using Artificial intelligence (AI) (Jan?a?ík et al., 2022). The presented project aims to create a teaching course that is intended to help the pupil in independent preparation for the national entrance exams in mathematics for upper secondary schools in the Czech Republic. The course takes the form of a chatbot with which a pupil can communicate in a web browser environment or the Telegram communication application designed for all common operating systems (Windows, macOS, Linux, iOS, Android, ...). The chatbot also includes a communication module using artificial intelligence that can communicate with the pupil beyond the scope of the designed course. The following two questions are addressed in the part of the research that is presented in this paper. The first question is what form of feedback is effective in the given environment and most reflect the nature of tutoring. The second question is how the chosen procedures must be modified for the different areas of mathematics the course focuses on. The paper presents an implementation within the area of algebra and geometry. Copyright © 2023 by SCITEPRESS – Science and Technology Publications, Lda.
Vik's Adventures: Enhancing Mathematical Learning in Secondary School Students Through a Serious Game Integrated with a Deep Learning Model;"Lussine C.P.S.; Yaquelin M.A.L.; Elio N.V.";2024;Proceedings of the 2024 IEEE 4th International Conference on Advanced Learning Technologies for Education and Research, ICALTER 2024;Conference;Scopus;10.1109/ICALTER65499.2024.10819208;The integration of deep learning and serious games within educational frameworks offers innovative pathways to enhance student engagement and learning outcomes. This research presents a serious game in a web application designed to improve mathematical skills among first-year secondary school students in Peru. The project employs advanced deep learning techniques to personalize learning paths based on individual performance metrics. Using a dataset of diagnostic responses, our model achieved 84.1 per cent accuracy after 50 training epochs, indicating significant potential for personalized education. The findings highlight the effectiveness of combining gamification with deep learning to transform educational practices and address learning disparities. © 2024 IEEE.
A Spatiotemporal Analysis of Teacher Practices in Supporting Student Learning and Engagement in an AI-Enabled Classroom;"Karumbaiah S.; Borchers C.; Shou T.; Falhs A.-C.; Liu P.; Nagashima T.; Rummel N.; Aleven V.";2023;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);Conference;Scopus;10.1007/978-3-031-36272-9_37;Research indicates that teachers play an active and important role in classrooms with AI tutors. Yet, our scientific understanding of the way teacher practices around AI tutors mediate student learning is far from complete. In this paper, we investigate spatiotemporal factors of student-teacher interactions by analyzing student engagement and learning with an AI tutor ahead of teacher visits (defined as episodes of a teacher being in close physical proximity to a student) and immediately following teacher visits. To conduct such integrated, temporal analysis around the moments when teachers visit students, we collect fine-grained, time-synchronized data on teacher positions in the physical classroom and student interactions with the AI tutor. Our case study in a K12 math classroom with a veteran math teacher provides some indications on factors that might affect a teacher’s decision to allocate their limited classroom time to their students and what effects these interactions have on students. For instance, teacher visits were associated more with students’ in-the-moment behavioral indicators (e.g., idleness) than a broader, static measure of student needs such as low prior knowledge. While teacher visits were often associated with positive changes in student behavior afterward (e.g., decreased idleness), there could be a potential mismatch between students visited by the teacher and who may have needed it more at that time (e.g., students who were disengaged for much longer). Overall, our findings indicate that teacher visits may yield immediate benefits for students but also that it is challenging for teachers to meet all needs – suggesting the need for better tool support. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.
Enhancing the Admissions Process for Engineering Baccalaureate Programs: A Machine Learning Approach to Developing a Valid and Reliable Examination;"Ramos M.S.; Barajas J.R.B.; Gealone P.J.N.; Aspra N.O.; Padua O.M.; Lucero A.T.";2023;2023 Systems and Information Engineering Design Symposium, SIEDS 2023;Conference;Scopus;10.1109/SIEDS58326.2023.10137793;This paper details an approach to identify multiple-choice questions that are most effective in discriminating deficiencies in mathematics competencies of incoming first-year engineering students who are graduates of the K-12 program that was recently implemented in the Philippines. To achieve this objective, machine learning algorithms such as the k-Nearest Neighbors (kNN), Logistic Regression (LR), Random Forest (RF), Decision Tree (DT), and Gradient Boosting Machines (GBM) were implemented. From a question bank containing 1,300 questions covering Algebra (A), Advanced Algebra (AA), Plane and Spherical Trigonometry (T), Analytic Geometry (AG), and Solid Mensuration (SM), five domain experts identified the suitability of the questions as part of a diagnostic examination in mathematics. Specifically, using a 5-point Likert scale (5 being the highest), the experts rated the suitability of each question to test the proficiency of a student in 23 mathematics competencies based on what is prescribed by the Commission on Higher Education (CHED). The collected survey data were then used to train the machine learning models, which extracted patterns to identify the questions that would be most suitable to test the mathematics competencies of incoming first-year engineering students. With a precision recall score of 99.90%, the LR model was selected as the best performing model and analysis of how the LR model predicts the labels through the use of shap values revealed that the preference was given towards questions which test student proficiency in foundational mathematics competencies like that of Algebra and Analytical Geometry. Overall, these findings provided a better understanding of the questions that are most effective in discriminating student deficiencies in mathematics subjects.  © 2023 IEEE.
DIA4K12: Framework for Managing then Teaching-Learning of Artificial Intelligence at Early Ages;"Labanda-Jaramillo M.; Chamba-Eras L.; Erreyes-Pinzon D.; Chamba-Eras I.; Orellana-Malla A.";2022;Lecture Notes in Networks and Systems;Conference;Scopus;10.1007/978-3-030-96293-7_36;"Artificial Intelligence (AI) is intervening positively in educations. UNESCO considers as a new vision to involve AI not only as a didactic medium but also as a science in which children can develop their intellect, through workshops, courses, and curricula focused on the fundamentals of AI, allowing them to develop skills such as computational and critical thinking. This research aims to design the DIA4K12 framework, which proposes the structure to support the teaching-learning process of AI in primary and secondary education. The core of the framework consists of four phases: planning, execution, process, and development; three components: open educational resources, K-12 curriculum and active methodologies; five sublevels: logical reasoning, computational thinking, and disconnected artificial intelligence, mathematics for AI, programming and machine learning; and three transversal axes: communities (communities of practice), open license (creative commons) and ethics. Finally, the framework was applied to a case study in the context of the Ecuadorian General Basic Education curriculum for the subject of Mathematics, using three phases, three components, and two sublevels. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG."
A multimodal platform to teach mathematics to students with vision-impairment;"Jariwala A.; Marghitu D.; Chapman R.";2021;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);Conference;Scopus;10.1007/978-3-030-78095-1_10;The advancements in Artificial Intelligence (AI) technologies in the last decade have led many developers, universities, and researchers to invest in the research and development of digital teaching platforms. This paper compares existing features implemented in the first prototype and provides visually impaired high-school students with a system to learn and practice mathematical problems. This project describes possibilities provided by open-source APIs such as Natural Language Toolkit (NLTK) and shows how to implement them to make education universal and accessible. We aim to achieve this by introducing an open-source platform, which will provide a set of modules for personalized speech recognition and accessible online tutoring. The system is divided into two modules: First, an intelligent conversational agent to help students learn new mathematical concepts, which opens up possibilities of providing students with a personalized response. Second, a mathematical expression parser and evaluator to help the student practice mathematical questions. The implementation and development of the system shall open doors towards self-directed learning for visually impaired students. © Springer Nature Switzerland AG 2021.
Modeling Engagement in Self-Directed Learning Systems Using Principal Component Analysis;"Hershcovits H.; Vilenchik D.; Gal K.";2020;IEEE Transactions on Learning Technologies;Article;Scopus;10.1109/TLT.2019.2922902;This paper studies students engagement in e-learning environments in which students work independently and solve problems without external supervision. We propose a new method to infer engagement patterns of users in such self-directed environments. We view engagement as a continuous process in time, measured along chosen axes that are derived from student data in the system using unsupervised learning (Principal Component Analysis). We construct a trajectory of user activity by projecting the user's scores along the selected PCs at regular time intervals. This approach is applied to a popular e-learning software for K12 math education that is used by thousands of students worldwide. We identify cohorts of users according to the way their trajectory changes over time (e.g., monotone up, monotone down, and constant). Each of the cohorts exhibits distinct behavioral dynamics and differed substantially in the amount of time users spent in the e-learning system. Specifically, one cohort included students that dropped out of the system after choosing very difficult problems that they were not able to complete, while another cohort included students users that chose more diverse problems and stayed longer in the system. In future work, these results can be used by teachers or intelligent tutors to track students' engagement in the system and decide whether and how to intervene. © 2008-2011 IEEE.
A systematic review of the literature regarding socially assistive robots in pre-tertiary education;"Papadopoulos I.; Lazzarino R.; Miah S.; Weaver T.; Thomas B.; Koulouglioti C.";2020;Computers and Education;Article;Scopus;10.1016/j.compedu.2020.103924;With rapid advances in Artificial Intelligence (AI) over the last decade, schools have increasingly employed innovative tools, intelligent applications and methods that are changing the education system with the aim of improving both user experience and learning gain in the classrooms. Even though the use of AI to education is not new, it has not unleashed its full potential yet. Much of the available research looks at educational robotics and at non-intelligent robots in education. Only recently, research has sought to assess the potential of Socially Assistive Robots (SARs), including humanoids, within the domain of classroom learning, particularly in relation to learning languages. Yet, the use of this form of AI in the field of mathematics and science constitutes a notable gap in this field. This study aims to critically review the research on the use of SARs in the pre-tertiary classroom teaching of mathematics and science. Further aim is to identify the benefits and disadvantages of such technology. Databases' search conducted between January and April 2018 yielded twenty-one studies meeting the set inclusion criteria for our systematic review. Findings were grouped into four major categories synThesising current evidence of the contribution of SARs in pre-tertiary education: learning gain, user experience, attitude, and usability of SARs within classroom settings. Overall, the use of SARs in pre-tertiary education is promising, but studies focussing on mathematics and science are significantly under-represented. Further evidence is also required around SARs' specific contributions to learning more broadly, as well as enabling/impeding factors, such as SAR's personalisation and appearance, or the role of families and ethical considerations. Finally, SARs potential to enhance accessibility and inclusivity of multi-cultural pre-tertiary classroom is almost unexplored. © 2020 Elsevier Ltd
Automated Matching of Exercises with Knowledge components;"Tian Z.; Flanagan B.; Dai Y.; Ogata H.";2022;30th International Conference on Computers in Education Conference, ICCE 2022 - Proceedings;Conference;Scopus;;As intelligent tutoring systems (ITS) fast develop, they have been implemented in many classrooms combing with various tutorial tools. Especially, matching exercises with knowledge components is the fundamental task of many applications, such as automatic recommendation, student knowledge tracing etc. However, manually labelling educational data is labor intensive and time consuming. Therefore, a range of machine learning methods has been proposed to address this problem, while few of them focusing on Japanese educational dataset in the real high school. In this paper, we leverage natural language processing techniques with Keyphrase extraction methods based on Japanese math exercises. We evaluate the model performance with several state-of-the-art methods and how it works in a real educational task. The results show that our methods outperform several state-of-art methods and can effectively save time for managing math exercise. © 30th International Conference on Computers in Education Conference, ICCE 2022 - Proceedings.
Study on intelligent evaluation of high school mathematics teachers' teaching reflection;"Kang Y.; Yang F.; Wang W.; Zhang X.; Liu W.";2022;Artificial Intelligence in Education and Teaching Assessment;Book chapter;Scopus;10.1007/978-981-16-6502-8_26;Developing the evaluation index system for teaching reflection and carrying out evaluation practice play a critical part and serve as an important breakthrough point in facilitating teachers' professional development. To evaluate efficiently, we developed an intelligent evaluation system for high school mathematics teachers' reflection, by integrating artificial intelligence (AI) technologies with the evaluation index system and evaluation model, and making use of the semantic similarity algorithm based on the Chinese National Knowledge Infrastructure (CNKI). Then the system was tested and applied with an accuracy reaching over 80%. This indicates the preliminary realization of the development, design and application of the intelligent evaluation system for high school mathematics teachers' teaching reflection. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2022.
Intelligent system for interactive teaching through videogames;"Robles D.; Quintero M. C.G.";2020;Sustainability (Switzerland);Article;Scopus;10.3390/SU12093573;Education, videogames, and intelligent systems are all relevant topics for researchers. Determining means of improving academic performance using a range of techniques and tools is an important challenge. However, while there are currently websites and multimedia resources that help students to improve their knowledge on specific topics, these lack in not having intelligent agents that can evaluate students and recommend materials to suit the difficulty that a user is having in a given subject. In this sense, this paper aims at developing an intelligent system that allows interactive teaching in basic education using videogames. In particular, high school students' skills in basic mathematical operations with fractions were used for testing experimentally the approach. An intelligent system was developed using computational techniques such as fuzzy logic and case-based reasoning to evaluate user performance and recommend additional study material according to the specific challenges from the given educational game. The use of the games was supported by ICT (information and communication technologies) tools on a web platform. Such a developed platform was tested by 206 high school students, who played 5400 games in total. The students showed an improvement of around 14% in the topics covered. The results indicate that the implementation jointly of videogames and intelligent systems allows users to improve their performance in the given topics. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.
LiveHint: Intelligent digital support for analog learning experiences;"Fisher J.D.; Fancsali S.E.; Lewis A.J.; Fisher V.A.; Hausmann R.G.M.; Pavelko M.; Finocchi S.B.; Ritter S.";2020;CEUR Workshop Proceedings;Conference;Scopus;;Among the critical expectations that learning stakeholders have for K-12 curriculum providers during the current global pandemic are that they provide: (a) support to rectify students' learning loss, (b) resources to help parents support student learning, and (c) greater access to open educational resources. We introduce a mobile-friendly, digital support for analog learning experiences called LiveHint, which currently supports students as they work on assignments in Carnegie Learning’s physical worktexts via a chatbot with access to thousands of context-sensitive hints. In addition to expanding the number of courses supported by LiveHint, we discuss possibilities for expanding the scope of activities supported by LiveHint within Carnegie Learning’s existing content. We also lay out possibilities for expanding the approach beyond Carnegie Learning’s content to teacher-created artifacts (e.g., custom worksheets), hand-offs between instructional modalities, and potential research use-cases for data collected from such a platform. Copyright © 2020 for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).
Student Low Achievement Prediction;"Zanellati A.; Zingaro S.P.; Gabbrielli M.";2022;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);Conference;Scopus;10.1007/978-3-031-11644-5_76;In this paper, we propose a method for assessing the risk of low achievement in primary and secondary school. We train three machine learning models with data collected by the Italian Ministry of Education through the INVALSI large-scale assessment tests. We compare the results of the trained models and evaluate the effectiveness of the solutions in terms of performance and interpretability. We test our methods on data collected in end-of-primary school mathematics tests to predict the risk of low achievement at the end of compulsory schooling (5 years later). The promising results of our approach suggest that it is possible to generalise the methodology for other school systems and for different teaching subjects. © 2022, Springer Nature Switzerland AG.
Development and Application of an Intelligent Assessment System for Mathematics Learning Strategy among High School Students—Take Jianzha County as an Example;"Wang G.; Chen X.; Zhang D.; Kang Y.; Wang F.; Su M.";2022;Sustainability (Switzerland);Article;Scopus;10.3390/su141912265;"To improve the quality of mathematics learning for high school students in economically disadvantaged areas, and promote education equity and sustainable development, this study developed the Mathematics Learning Strategies Intelligent Assessment and Strategy Implementation System by using artificial intelligence technology. The system fuses assessment scales, a set of norms, improvement strategies, and the intelligent assessment and strategy implementation program into an organic whole. The system can intelligently output all participants’ diagnosis results of the mathematics learning strategy in batches and automatically propose targeted improvement strategies for every participant. By applying the intelligent system to Jianzha County, Huangnan Tibetan Autonomous Prefecture, Qinghai Province, China, the results show that the mathematical learning strategies of high school students in Jianzha County were at a middle level; mathematical cognitive strategies and mathematical resource-management strategies need to be improved. The system’s effectiveness in practical applications was later tested via both quantitative methods, such as questionnaire surveys and testing, and qualitative methods, such as interviews, as well as evaluation by self and others. By intervening with participants according to the strategy implementation program provided by the system, it was found that their mathematics learning strategy level improved. The results of the study show that the system can accurately diagnose the level of mathematics learning strategies of high school students and that interventions based on the improvement measures can improve students’ mathematics learning strategy and mathematics achievements, indicating that the system is effective. © 2022 by the authors."
Construction of teacher-student interaction evaluation index system for high school mathematics concept assimilation learning based on artificial intelligence;"Zhen Y.; Shi S.; Wang W.; Wang G.";2022;Artificial Intelligence in Education and Teaching Assessment;Book chapter;Scopus;10.1007/978-981-16-6502-8_13;Teacher-student interaction is one of the most critical teaching behaviors in high school mathematics classrooms. As one of the main parts of mathematics teaching, concepts are the core of mathematics knowledge. Moreover, concept assimilation is the essential learning approach for senior students to acquire mathematics concepts. Therefore, this study constructed the Teacher-Student Interaction Evaluation Index System for High School Mathematics Concept Assimilation Learning. Combining both qualitative and quantitative perspectives, this study first constructed the evaluation system from the theoretical perspective using the Delphi method. Then, the video analysis was used to verify the evaluation system by conducting a qualitative analysis of high-quality teaching videos from the practical perspective with the help of artificial intelligence. Teacher-Student Interaction Evaluation Index System for High School Mathematics Concept Assimilation Learning constructed in this study included four first-level indicators: teacher-student interaction in the concept recognition stage, teacher-student interaction in the concept processing stage, teacher-student interaction in the concept reinforcement stage, and teacher-student interaction in the concept application stage, and eight second-level indicators: mutual communication, mobilizing learning initiative, explanation and exploration, inspired focus, example analysis, inspiration and concentration, task solving, and encouragement and feedback. This study could provide quantitative evaluation tools and theoretical models for teacher-student interaction in concept assimilation learning, and enrich teachers' understanding of concept teaching theory and teacher-student interaction. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2022.
Digital Device and Mathematics: Multilevel vs Machine Learning Models for Value-added Ranking in Italy;Papa D.;2022;International Conference on Computer Supported Education, CSEDU - Proceedings;Conference;Scopus;10.5220/0011042700003182;With the COVID-19 pandemic and the development of distance education programs, digital learning is popular and strategic in many learning fields. The deployment of Information and Communications Technology and its impact on both national and international learning programs are becoming increasingly significant. This study seeks to explore in the Italian context both the effectiveness of digital learning in Mathematics Education and which features and how affect value-added at the classroom level. To explore Information and Communications Technology contribution and value-added scoring, the study takes into consideration the analytical power of classical multilevel models concerning the predictive power of different types of machine learning models. The study aims to investigate how Information and Communications Technology, and related concepts, impact the Weighted Likelihood Estimates in Mathematics for students in the lower secondary school, using data from the INVALSI of the school year 2017/2018. The main finding is that Personal Computer ownership at home plays an important role in mathematical learning. Finally, a machine learning model incorporated in the educational domain can be an interesting starting point for developing class-predictive policies. Copyright © 2022 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved.
Modeling Unstructured Data: Teachers as Learners and Designers of Technology-enhanced Artificial Intelligence Curriculum;"Tatar C.; Yoder M.M.; Coven M.; Wiedemann K.; Chao J.; Finzer W.; Jiang S.; Rosé C.P.";2021;Proceedings of International Conference of the Learning Sciences, ICLS ;Conference;Scopus;;In this paper, we present a co-design study with teachers to contribute towards development of a technology-enhanced Artificial Intelligence (AI) curriculum, focusing on modeling unstructured data. We created an initial design of a learning activity prototype and explored ways to incorporate the design into high school classes. Specifically, teachers explored text classification models with the prototype and reflected on the exploration as a user, learner, and teacher. They provided insights about learning opportunities in the activity and feedback for integrating it into their teaching. Findings from qualitative analysis demonstrate that exploring text classification models provided an accessible and comprehensive approach for integrated learning of mathematics, language arts, and computing with the potential of supporting the understanding of core AI concepts including identifying structure within unstructured data and reasoning about the roles of human insight in developing AI technologies. © ISLS.
The Dynamic Vectors-Based Attention Model for Chinese Mathematical Term Extraction;"Zhong, Maosheng; Kuang, Jiangling; Liu, GanLin; Hua, Xin; Wu, Jiahua";2023;IEEE INTELLIGENT SYSTEMS;Article;WoS;10.1109/MIS.2023.3246240;Term extraction aims to extract domain-specific terminology from documents. Secondary school mathematics terminology plays a guiding role in the learning and teaching of secondary school mathematics. We found that there needs to be more work in this field and that there are two main issues in extracting the terms from the middle school mathematics text: the polysemy of one character problem and nested terms problem. Accordingly, we have constructed a secondary school mathematics corpus and proposed a model to resolve these problems, termed BERT-LLA-CRF. Using pretraining to obtain dynamic word vectors to improve the model's understanding of text semantics and solve the problem of multiple meanings of one word, the proposed model integrates attention mechanisms and Chinese character information to solve the nested terminology problem. The experiment results show that the proposed model effectively solves those problems and achieves good middle-school mathematics term extraction results.
Development of a generative AI-powered teachable agent for middle school mathematics learning: A design-based research study;"Xing, Wanli; Song, Yukyeong; Li, Chenglu; Liu, Zifeng; Zhu, Wangda; Oh, Hyunju";2025;BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY;Article;WoS;10.1111/bjet.13586;This paper Reports on a design-based research (DBR) study that aims to devise an artificial intelligence (AI)-powered teachable agent that supports secondary school students' learning-by-teaching practices of mathematics learning content. A long-standing pedagogical practice of learning-by-teaching is powered by a recent advancement of generative AI technologies, yielding our teachable agent called ALTER-Math. This study chronicles one usability testing and three cycles of iterative design and implementation process of ALTER-Math. The three empirical studies involved a total of 320 middle school students and six teachers in authentic classroom settings. The first study was exploratory, focusing on the qualitative feedback from the students and teachers through open-ended surveys, interviews and classroom observations. The second study yielded a medium-high (M = 3.26) quantitative survey result on students' perceived engagement and usability on top of the qualitative findings. Finally, the final study included pre- and post-knowledge tests in a quasi-experimental study design as well as student and teacher interviews. The final study revealed a bigger significant knowledge improvement in students who used ALTER-Math compared to the control group, suggesting a positive impact of AI-powered teachable agents on students' learning. The design implications learned from multiple iterations are discussed to inform the future design of AI-powered learning technologies.Practitioner notes What is already known about this topic Learning-by-teaching is a long-standing effective pedagogical strategy to enhance students' domain knowledge and feelings of responsibility in learning. Various teachable agents have been developed and have demonstrated benefits in students' learning. Generative AI offers the potential to provide naturalistic, contextualised and adaptive conversations. What this paper adds Develops a novel generative AI-powered teachable agent for middle school mathematics learning, called ALTER-Math. Reports the iterative design process involving empirical classroom implementations of ALTER-Math. Reveals a bigger significant improvement in the student's mathematical knowledge after using ALTER-Math, compared to the control group. Implications for practice and/or policy Researchers can be inspired by this design example of a theoretically grounded generative AI learning technology. Educational technology designers could hear the real voices of students and teachers about the generative AI learning technologies. Researchers and educational technology designers could be directed by the design implications to the future design of AI-powered learning technologies and teachable agents.
The More Anxious, the More Dependent? The Impact of Math Anxiety on AI-Assisted Problem-Solving;"Chen, Feng; Chen, Jihe; Xu, Yanying";2025;PSYCHOLOGY IN THE SCHOOLS;Article;WoS;10.1002/pits.23500;"Although the use of AI technology driven by anxiety has become increasingly common, research on the relationship between high school students' math anxiety and their intention to use AI for problem-solving remains limited. This study, grounded in the Stimulus-Organism-Response (SOR) model, aims to explore the relationship between math anxiety and the intention to use AI for solving math problems among high school students. Using the Math Anxiety Scale (AMAS), the Perceived Social Support Scale (PSSS), and the AI Problem-Solving Behavior Scale (AIPS), data from 391 high school students were collected. The analysis revealed the following: (1) Students Report high levels of math anxiety and a strong inclination to use AI tools for solving math problems; (2) Social support plays a significant role in alleviating math anxiety, with family support being the most effective, followed by support from friends and teachers; (3) High levels of family support are the most effective means of reducing math anxiety. The study suggests that the relationship between math anxiety and AI use intention should be addressed, with a focus on regulating the application of AI in math education to promote its scientific and effective use. Additionally, improving family relationships and providing mental health support are recommended to alleviate math anxiety from an emotional and social support perspective. This study provides valuable insights for educators and policymakers, offering important references for designing more human-centered and effective educational interventions, thereby promoting the application of artificial intelligence technology in mathematics education."
Empirical Research on AI Technology-Supported Precision Teaching in High School Science Subjects;"Hao, Miaomiao; Wang, Yi; Peng, Jun";2024;APPLIED SCIENCES-BASEL;Article;WoS;10.3390/app14177544;"The empowerment of educational reform and innovation through AI technology has become a topic of increasing interest in the field of education. The advent of AI technology has made comprehensive and in-depth teaching evaluation possible, serving as a significant driving force for efficient and precise teaching. There were few empirical studies on the application of high-quality precision teaching models in the field of compulsory education, and the learning difficulty of technology and the teaching burden on teachers have become significant factors hindering the use of technology to support education. This study analyzed teaching models from the perspectives of teachers' teaching burdens and students' learning obstacles, and was committed to relying on intelligent technology to construct a new precision teaching model, an educational diagnosis-feedback-intervention path that covered the entire teaching process, from the dimensions of teacher behavior, student behavior, and parent behavior, aiming to assist teachers in efficient teaching and students in personalized learning. This study was conducted with nine science classes, including about 540 people in the second year of high school at a Middle School in China; six classes were the intervention groups while the last three classes were control groups, and a survey of 19 teachers from the intervention classes was carried out. The results showed that this model can significantly improve students' academic performance in science subjects, especially in mathematics and chemistry. It has increased the proportion of high-achieving students, reduced the proportion of low-achieving students, stimulated students' self-directed learning ability, cultivated a positive attitude towards science learning, and explained the key points of using a precision teaching model in different disciplines. It has achieved a deep integration of education and technology, helping to increase the efficiency and reduce the burden of teaching."
Factors Influencing Tandem Learning in Mathematics;"Bregant, Bor; Doz, Daniel; Hudovernik, Sanela";2025;INTERNATIONAL JOURNAL OF INSTRUCTION;Article;WoS;10.29333/iji.2025.18124a;The main objective of secondary education institutions is to provide quality education to its students. One way to achieve this is by introducing various teaching methods, one of which is tandem learning, which is a small-group cooperative learning method. Not everyone responds well to a one-size-fits-all method, and therefore, uncovering insights for predictive model selection tailored to individual students or classrooms becomes imperative for teaching institutions. The knowledge is embedded in the educational data set and is extractable through data mining techniques. The primary objective of the study was to identify the key factors that significantly influence student outcomes (including both emotional well-being and knowledge improvement) in tandem learning using machine learning algorithms. The study was conducted in a mathematics class during the course of one week of tandem learning implementation in the school year 2023/24 with a sample of 89 high school students from a selected Slovene high school and interaction, and whether the student outperformed their partner). The outcome of interest was a three-state dependent variable indicating whether the student responded well to the implementation of tandem learning into the education environment. The present study tested which predictor variables were most important using mutual information and recursive feature elimination for all variables. The most important factors according to mutual information for predicting student response were outperforming the partner, class, and qualitative qualitative interaction, outperforming partner and gender.
Applying Machine Learning and SHAP Method to Identify Key Influences on Middle-School Students' Mathematics Literacy Performance;"Huang, Ying; Zhou, Ying; Chen, Jihe; Wu, Danyan";2024;JOURNAL OF INTELLIGENCE;Article;WoS;10.3390/jintelligence12100093;The PISA 2022 literacy assessment highlights a significant decline in math performance among most OECD countries, with the magnitude of this decline being approximately three times that of the previous round. Remarkably, Hong Kong, Macao, Taipei, Singapore, Japan, and Korea ranked in the top six among all participating countries or economies, with Taipei, Singapore, Japan, and Korea also demonstrating improved performance. Given the widespread concern about the factors influencing secondary-school students' mathematical literacy, this paper adopts machine learning and the SHapley Additive exPlanations (SHAP) method to analyze 34,968 samples and 151 features from six East Asian education systems within the PISA 2022 dataset, aiming to pinpoint the crucial factors that affect middle-school students' mathematical literacy. First, the XGBoost model has the highest prediction accuracy for math literacy performance. Second, 15 variables were identified as significant predictors of mathematical literacy across the student population, particularly variables such as mathematics self-efficacy (MATHEFF) and expected occupational status (BSMJ). Third, mathematics self-efficacy was determined to be the most influential factor. Fourth, the factors influencing mathematical literacy vary among individual students, including the key influencing factors, the direction (positive or negative) of their impact, and the extent of this influence. Finally, based on our findings, four recommendations are proffered to enhance the mathematical literacy performance of secondary-school students.
